frame,widget_key,renderer,call_index,duration_ms,width,height,cache_hit_if_known
43,temp_text,text,3,0.0271,114,51,1
43,alt_text,bar,4,2.0439,337,213,0
44,fit_distance_text,bar,0,0.7942,2324,199,0
44,iso_text,text,1,0.0221,140,51,1
44,exposure_text,text,2,0.0129,144,51,1
44,temp_text,text,3,0.0116,114,51,1
44,alt_text,bar,4,0.9308,337,213,0
45,fit_distance_text,bar,0,0.9746,2324,199,0
45,iso_text,text,1,0.0274,140,51,1
45,exposure_text,text,2,0.0153,144,51,1
45,temp_text,text,3,0.0134,114,51,1
45,alt_text,bar,4,1.0206,337,213,0
46,fit_distance_text,bar,0,0.765,2324,199,0
46,iso_text,text,1,0.038,140,51,1
46,exposure_text,text,2,0.0128,144,51,1
46,temp_text,text,3,0.0123,114,51,1
46,alt_text,bar,4,0.8733,337,213,0
47,fit_distance_text,bar,0,0.799,2324,199,0
47,iso_text,text,1,0.0231,140,51,1
47,exposure_text,text,2,0.0126,144,51,1
47,temp_text,text,3,0.0118,114,51,1
47,alt_text,bar,4,0.9357,337,213,0
48,fit_distance_text,bar,0,0.9035,2324,199,0
48,iso_text,text,1,0.0314,140,51,1
48,exposure_text,text,2,0.0133,144,51,1
48,temp_text,text,3,0.015,114,51,1
48,alt_text,bar,4,1.2632,337,213,0
49,fit_distance_text,bar,0,1.0227,2324,199,0
49,iso_text,text,1,0.0355,140,51,1
49,exposure_text,text,2,0.0132,144,51,1
49,temp_text,text,3,0.0118,114,51,1
49,alt_text,bar,4,1.0113,337,213,0
50,fit_distance_text,bar,0,0.9324,2324,199,0
50,iso_text,text,1,0.0231,140,51,1
50,exposure_text,text,2,0.0132,144,51,1
50,temp_text,text,3,0.0119,114,51,1
50,alt_text,bar,4,0.8516,337,213,0
51,fit_distance_text,bar,0,0.8722,2324,199,0
51,iso_text,text,1,0.0226,140,51,1
51,exposure_text,text,2,0.0129,144,51,1
51,temp_text,text,3,0.0113,114,51,1
51,alt_text,bar,4,0.8896,337,213,0
52,fit_distance_text,bar,0,0.8788,2324,199,0
52,iso_text,text,1,0.0218,140,51,1
52,exposure_text,text,2,0.0129,144,51,1
52,temp_text,text,3,0.0113,114,51,1
52,alt_text,bar,4,0.8569,337,213,0
53,fit_distance_text,bar,0,0.8696,2324,199,0
53,iso_text,text,1,0.0218,140,51,1
53,exposure_text,text,2,0.0126,144,51,1
53,temp_text,text,3,0.0114,114,51,1
53,alt_text,bar,4,0.9534,337,213,0
54,fit_distance_text,bar,0,0.9283,2324,199,0
54,iso_text,text,1,0.032,140,51,1
54,exposure_text,text,2,0.0135,144,51,1
54,temp_text,text,3,0.0124,114,51,1
54,alt_text,bar,4,0.9857,337,213,0
55,fit_distance_text,bar,0,0.9523,2324,199,0
55,iso_text,text,1,0.0222,140,51,1
55,exposure_text,text,2,0.0133,144,51,1
55,temp_text,text,3,0.0117,114,51,1
55,alt_text,bar,4,0.8325,337,213,0
56,fit_distance_text,bar,0,0.9034,2324,199,0
56,iso_text,text,1,0.0217,140,51,1
56,exposure_text,text,2,0.013,144,51,1
56,temp_text,text,3,0.0114,114,51,1
56,alt_text,bar,4,0.8194,337,213,0
57,fit_distance_text,bar,0,0.8621,2324,199,0
57,iso_text,text,1,0.024,140,51,1
57,exposure_text,text,2,0.013,144,51,1
57,temp_text,text,3,0.012,114,51,1
57,alt_text,bar,4,0.8357,337,213,0
58,fit_distance_text,bar,0,0.8924,2324,199,0
58,iso_text,text,1,0.0301,140,51,1
58,exposure_text,text,2,0.0135,144,51,1
58,temp_text,text,3,0.0124,114,51,1
58,alt_text,bar,4,0.8802,337,213,0
59,fit_distance_text,bar,0,0.8341,2324,199,0
59,iso_text,text,1,0.0314,140,51,1
59,exposure_text,text,2,0.013,144,51,1
59,temp_text,text,3,0.0117,114,51,1
59,alt_text,bar,4,0.9015,337,213,0
60,fit_distance_text,bar,0,0.8291,2324,199,0
60,iso_text,text,1,0.0206,140,51,1
60,exposure_text,text,2,0.0126,144,51,1
60,temp_text,text,3,0.0111,114,51,1
60,alt_text,bar,4,0.9302,337,213,0
61,fit_distance_text,bar,0,0.8828,2324,199,0
61,iso_text,text,1,0.0232,140,51,1
61,exposure_text,text,2,0.013,144,51,1
61,temp_text,text,3,0.0117,114,51,1
61,alt_text,bar,4,0.8734,337,213,0
62,fit_distance_text,bar,0,0.9779,2324,199,0
62,iso_text,text,1,0.0246,140,51,1
62,exposure_text,text,2,0.0136,144,51,1
62,temp_text,text,3,0.0118,114,51,1
62,alt_text,bar,4,0.9091,337,213,0
63,fit_distance_text,bar,0,0.9621,2324,199,0
63,iso_text,text,1,0.0355,140,51,1
63,exposure_text,text,2,0.0133,144,51,1
63,temp_text,text,3,0.0118,114,51,1
63,alt_text,bar,4,0.9383,337,213,0
64,fit_distance_text,bar,0,1.0794,2324,199,0
64,iso_text,text,1,0.0383,140,51,1
64,exposure_text,text,2,0.0137,144,51,1
64,temp_text,text,3,0.0119,114,51,1
64,alt_text,bar,4,1.2762,337,213,0
65,fit_distance_text,bar,0,0.9599,2324,199,0
65,iso_text,text,1,0.0235,140,51,1
65,exposure_text,text,2,0.0161,144,51,1
65,temp_text,text,3,0.0154,114,51,1
65,alt_text,bar,4,1.4446,337,213,0
66,fit_distance_text,bar,0,0.7976,2324,199,0
66,iso_text,text,1,0.0231,140,51,1
66,exposure_text,text,2,0.0132,144,51,1
66,temp_text,text,3,0.0116,114,51,1
66,alt_text,bar,4,0.931,337,213,0
67,fit_distance_text,bar,0,0.7724,2324,199,0
67,iso_text,text,1,0.0226,140,51,1
67,exposure_text,text,2,0.0132,144,51,1
67,temp_text,text,3,0.0121,114,51,1
67,alt_text,bar,4,0.8971,337,213,0
68,fit_distance_text,bar,0,0.7628,2324,199,0
68,iso_text,text,1,0.024,140,51,1
68,exposure_text,text,2,0.0127,144,51,1
68,temp_text,text,3,0.0112,114,51,1
68,alt_text,bar,4,0.983,337,213,0
69,fit_distance_text,bar,0,0.8508,2324,199,0
69,iso_text,text,1,0.0282,140,51,1
69,exposure_text,text,2,0.0139,144,51,1
69,temp_text,text,3,0.0121,114,51,1
69,alt_text,bar,4,1.0218,337,213,0
70,fit_distance_text,bar,0,0.849,2324,199,0
70,iso_text,text,1,0.0238,140,51,1
70,exposure_text,text,2,0.0132,144,51,1
70,temp_text,text,3,0.0118,114,51,1
70,alt_text,bar,4,0.8573,337,213,0
71,fit_distance_text,bar,0,0.8248,2324,199,0
71,iso_text,text,1,0.0222,140,51,1
71,exposure_text,text,2,0.0129,144,51,1
71,temp_text,text,3,0.0114,114,51,1
71,alt_text,bar,4,0.8385,337,213,0
72,fit_distance_text,bar,0,0.8225,2324,199,0
72,iso_text,text,1,0.0217,140,51,1
72,exposure_text,text,2,0.0128,144,51,1
72,temp_text,text,3,0.0118,114,51,1
72,alt_text,bar,4,0.8118,337,213,0
73,fit_distance_text,bar,0,0.8253,2324,199,0
73,iso_text,text,1,0.0217,140,51,1
73,exposure_text,text,2,0.0125,144,51,1
73,temp_text,text,3,0.0115,114,51,1
73,alt_text,bar,4,1.502,337,213,0
74,fit_distance_text,bar,0,0.9693,2324,199,0
74,iso_text,text,1,0.0341,140,51,1
74,exposure_text,text,2,0.0132,144,51,1
74,temp_text,text,3,0.0117,114,51,1
74,alt_text,bar,4,0.9609,337,213,0
75,fit_distance_text,bar,0,0.885,2324,199,0
75,iso_text,text,1,0.0308,140,51,1
75,exposure_text,text,2,0.0131,144,51,1
75,temp_text,text,3,0.0122,114,51,1
75,alt_text,bar,4,0.9423,337,213,0
76,fit_distance_text,bar,0,0.9758,2324,199,0
76,iso_text,text,1,0.0289,140,51,1
76,exposure_text,text,2,0.0125,144,51,1
76,temp_text,text,3,0.012,114,51,1
76,alt_text,bar,4,0.9087,337,213,0
77,fit_distance_text,bar,0,0.9351,2324,199,0
77,iso_text,text,1,0.0231,140,51,1
77,exposure_text,text,2,0.013,144,51,1
77,temp_text,text,3,0.0116,114,51,1
77,alt_text,bar,4,0.8671,337,213,0
78,fit_distance_text,bar,0,1.0002,2324,199,0
78,iso_text,text,1,0.0255,140,51,1
78,exposure_text,text,2,0.0129,144,51,1
78,temp_text,text,3,0.0119,114,51,1
78,alt_text,bar,4,0.9518,337,213,0
79,fit_distance_text,bar,0,0.9421,2324,199,0
79,iso_text,text,1,0.0209,140,51,1
79,exposure_text,text,2,0.0928,144,51,1
79,temp_text,text,3,0.0119,114,51,1
79,alt_text,bar,4,0.9556,337,213,0
80,fit_distance_text,bar,0,1.4749,2324,199,0
80,iso_text,text,1,0.0526,140,51,1
80,exposure_text,text,2,0.0201,144,51,1
80,temp_text,text,3,0.0156,114,51,1
80,alt_text,bar,4,1.1379,337,213,0
81,fit_distance_text,bar,0,0.861,2324,199,0
81,iso_text,text,1,0.0229,140,51,1
81,exposure_text,text,2,0.013,144,51,1
81,temp_text,text,3,0.0116,114,51,1
81,alt_text,bar,4,0.895,337,213,0
82,fit_distance_text,bar,0,0.878,2324,199,0
82,iso_text,text,1,0.031,140,51,1
82,exposure_text,text,2,0.0132,144,51,1
82,temp_text,text,3,0.0115,114,51,1
82,alt_text,bar,4,1.1714,337,213,0
83,fit_distance_text,bar,0,0.8861,2324,199,0
83,iso_text,text,1,0.0254,140,51,1
83,exposure_text,text,2,0.0153,144,51,1
83,temp_text,text,3,0.0119,114,51,1
83,alt_text,bar,4,0.9108,337,213,0
84,fit_distance_text,bar,0,0.9787,2324,199,0
84,iso_text,text,1,0.0394,140,51,1
84,exposure_text,text,2,0.0146,144,51,1
84,temp_text,text,3,0.0117,114,51,1
84,alt_text,bar,4,1.5596,337,213,0
85,fit_distance_text,bar,0,0.9996,2324,199,0
85,iso_text,text,1,0.0425,140,51,1
85,exposure_text,text,2,0.0136,144,51,1
85,temp_text,text,3,0.0119,114,51,1
85,alt_text,bar,4,0.9759,337,213,0
86,fit_distance_text,bar,0,1.0362,2324,199,0
86,iso_text,text,1,0.0331,140,51,1
86,exposure_text,text,2,0.0128,144,51,1
86,temp_text,text,3,0.0116,114,51,1
86,alt_text,bar,4,0.9537,337,213,0
87,fit_distance_text,bar,0,0.9062,2324,199,0
87,iso_text,text,1,0.0218,140,51,1
87,exposure_text,text,2,0.0128,144,51,1
87,temp_text,text,3,0.0115,114,51,1
87,alt_text,bar,4,0.8078,337,213,0
88,fit_distance_text,bar,0,0.9524,2324,199,0
88,iso_text,text,1,0.0221,140,51,1
88,exposure_text,text,2,0.0132,144,51,1
88,temp_text,text,3,0.0117,114,51,1
88,alt_text,bar,4,0.8626,337,213,0
89,fit_distance_text,bar,0,0.9278,2324,199,0
89,iso_text,text,1,0.032,140,51,1
