ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_clear_finished_ns,worker_clear_started_ns,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms,worker_zero_copy,writer_dequeued_ms,writer_queue_depth_after_get,writer_requested_bytes,writer_returned_bytes,writer_write_calls
3717.9123,3710.611,3669.7228,3710.4538,8,7,58,3672.3956,3710.4742,3710.5302,3710.4764,3710.4567,3709.7909,3717.9392,3710.4909,3672.3103,3672.3157,,,3709.7909,6312,3704.1011,3690.2212,3690.1989,False,3710.6055,1,4206272,4206272,1
3720.0615,3717.964,3674.8011,3709.7147,7,7,59,3685.0985,3710.5383,3710.5493,3710.5403,3709.7181,3708.8182,3720.0793,3710.5458,3685.0133,3685.0191,,,3708.8182,2116,3704.849,3692.9513,3692.9399,False,3717.9603,0,4206272,4206272,1
3722.4319,3720.2976,3685.1764,3720.2175,8,7,60,3687.3502,3720.2251,3720.2413,3720.2264,3720.2185,3710.9417,3722.4463,3720.2317,3687.299,3687.3039,,,3710.9417,44060,3706.9305,3694.1576,3694.1443,False,3720.2915,1,4206272,4206272,1
3724.6333,3722.4608,3687.4097,3720.2055,7,7,61,3689.1979,3720.2444,3720.2509,3720.2461,3720.2077,3718.3703,3724.652,3720.2485,3689.158,3689.1601,,,3718.3703,33504,3715.6222,3702.7036,3702.6914,False,3722.4592,0,4206272,4206272,1
3726.9199,3725.9077,3690.5148,3725.7415,8,7,62,3691.4803,3725.7596,3725.7783,3725.7614,3725.7444,3725.1709,3726.9486,3725.7674,3691.4467,3691.4487,,,3725.1709,2116,3720.2925,3709.4746,3709.4481,False,3725.8943,0,4206272,4206272,1
3736.5885,3735.8749,3693.09,3735.5686,8,7,63,3694.0652,3735.6752,3735.78,3735.6832,3735.584,3734.5818,3736.6012,3735.72,3694.0266,3694.0299,,,3734.5818,6312,3724.9752,3710.4961,3710.4751,False,3735.8698,1,4206272,4206272,1
3739.5045,3736.6146,3694.3528,3730.665,7,7,64,3697.2478,3735.7908,3735.809,3735.7952,3730.669,3729.9007,3739.559,3735.8026,3697.1713,3697.1802,,,3729.9007,44060,3725.5114,3711.994,3711.9701,False,3736.6137,0,4206272,4206272,1
3741.3391,3739.7635,3703.0553,3739.7027,8,7,65,3704.3222,3739.7149,3739.728,3739.716,3739.7053,3735.8276,3741.3543,3739.7198,3704.2293,3704.2374,,,3735.8276,33504,3733.4183,3719.497,3719.4795,False,3739.7605,0,4206272,4206272,1
3748.6393,3746.8473,3710.5528,3746.7375,8,6,66,3718.3881,3746.7618,3746.7889,3746.7641,3746.7418,3745.3884,3748.6612,3746.7726,3718.1464,3718.1676,,,3745.3884,2116,3741.9372,3725.6982,3725.6737,False,3746.8413,0,4206272,4206272,1
3761.5076,3753.5897,3718.3952,3753.5109,8,7,67,3720.1727,3753.5361,3753.5629,3753.5378,3753.5152,3752.8853,3761.5802,3753.5476,3720.1239,3720.1281,,,3752.8853,44060,3748.6869,3730.4787,3730.4617,False,3753.5841,0,4206272,4206272,1
