ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_clear_finished_ns,worker_clear_started_ns,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms,worker_zero_copy,writer_dequeued_ms,writer_queue_depth_after_get,writer_requested_bytes,writer_returned_bytes,writer_write_calls
3135.7366,3133.8223,3071.2947,3133.722,8,7,53,3074.8469,3133.7401,3133.7643,3133.7413,3133.7259,3132.6195,3135.7574,3133.7476,3074.6309,3074.6481,,,3132.6195,44340,3118.4182,3101.429,3101.3725,False,3133.8175,0,8294400,8294400,1
3150.3581,3148.391,3079.4898,3148.0935,8,7,54,3085.7409,3148.1786,3148.3115,3148.1841,3148.1071,3147.1753,3150.3877,3148.2344,3085.6753,3085.6798,,,3147.1753,13120,3130.7657,3112.9857,3112.9666,False,3148.3823,0,8294400,8294400,1
3161.0005,3156.6018,3091.4173,3156.4201,8,7,55,3094.975,3156.4553,3156.4975,3156.4577,3156.4261,3155.1675,3161.0256,3156.4714,3094.7797,3094.7897,,,3155.1675,40360,3140.9926,3122.2327,3122.1551,False,3156.5929,1,8294400,8294400,1
3164.9583,3161.0471,3095.3549,3154.4687,7,7,56,3101.4441,3156.5061,3156.5169,3156.5081,3154.478,3153.5391,3164.9775,3156.5134,3101.3621,3101.3678,,,3153.5391,33812,3141.3625,3127.5884,3127.5587,False,3161.0445,0,8294400,8294400,1
3172.0238,3169.3715,3101.787,3169.2625,8,7,57,3108.0785,3169.2798,3169.2983,3169.2812,3169.2663,3168.4577,3172.0706,3169.2883,3107.9684,3107.9772,,,3168.4577,44340,3157.7267,3133.6,3133.5607,False,3169.3574,0,8294400,8294400,1
3184.889,3181.6514,3113.2561,3181.4785,8,7,58,3118.0159,3181.5149,3181.5621,3181.5166,3181.4851,3179.1893,3184.9471,3181.5336,3117.8744,3117.8815,,,3179.1893,13120,3165.4823,3147.706,3147.686,False,3181.6402,0,8294400,8294400,1
3194.1942,3186.3461,3122.6406,3186.235,8,7,59,3125.8882,3186.2562,3186.2749,3186.2577,3186.2403,3184.6487,3194.2416,3186.2654,3125.8156,3125.8205,,,3184.6487,33812,3169.569,3154.3633,3154.3124,False,3186.3404,0,8294400,8294400,1
3199.5027,3194.533,3127.5436,3194.4539,8,7,60,3131.8613,3194.4717,3194.4874,3194.4728,3194.4593,3188.9229,3199.5696,3194.4788,3131.4909,3131.5257,,,3188.9229,40360,3171.9733,3156.3649,3156.3088,False,3194.5294,0,8294400,8294400,1
3205.2141,3200.5181,3133.7696,3200.3094,8,7,61,3135.9689,3200.3348,3200.3575,3200.3365,3200.3152,3199.035,3205.2737,3200.3454,3135.8437,3135.8537,,,3199.035,44340,3185.8217,3169.2888,3169.2456,False,3200.5135,0,8294400,8294400,1
3220.6661,3219.1016,3148.3296,3219.0151,8,7,62,3150.5257,3219.0432,3219.0664,3219.0448,3219.0199,3217.5153,3220.6848,3219.0532,3150.4422,3150.4478,,,3217.5153,13120,3198.6373,3180.8642,3180.8094,False,3219.0941,0,8294400,8294400,1
