frame,map_gpu_ms,chart_gpu_ms,gauge_gpu_ms,lean_gpu_ms,final_gpu_ms
383,0.00052,0.00044,0.00052,0.035,5.32513
384,0.00048,0.00032,0.0004,0.035,5.15526
385,0.00044,0.00044,0.00048,0.035,4.22892
386,0.00036,0.00032,0.00036,0.035,4.08232
387,0.00036,0.00036,0.00036,0.035,3.85404
388,0.00048,0.00044,0.00048,0.035,5.02428
389,0.0004,0.00036,0.00036,0.035,3.75336
390,0.0004,0.0004,0.0004,0.035,3.99952
391,0.00048,0.00048,0.00056,0.035,5.51
392,0.00175,0.00155,0.0015,0.035,6.59933
393,0.00028,0.00024,0.00024,0.035,3.45772
394,0.00028,0.00028,0.00032,0.035,4.34508
395,0.00028,0.00028,0.00024,0.035,3.93792
396,0.00032,0.00028,0.00032,0.035,3.97968
397,0.00032,0.00036,0.00036,0.035,4.09632
398,0.00032,0.00032,0.00028,0.035,4.55844
399,0.00024,0.00028,0.00032,0.035,3.73216
400,0.00028,0.00024,0.00024,0.035,3.6026
401,0.00116,0.00068,0.00076,0.035,5.46691
402,0.00032,0.00032,0.00032,0.035,4.18244
403,0.0006,0.0006,0.00072,0.035,4.25599
404,0.00048,0.00044,0.00048,0.035,5.0284
405,0.00068,0.00064,0.00076,0.035,5.82285
406,0.00036,0.00036,0.00036,0.035,4.06712
407,0.00028,0.00028,0.00028,0.035,6.40465
408,0.00028,0.00028,0.00028,0.035,5.74272
409,0.00028,0.00028,0.00032,0.035,4.28936
410,0.001,0.00064,0.00076,0.035,6.22813
411,0.00032,0.00032,0.00032,0.035,5.07041
412,0.00032,0.00028,0.00048,0.035,4.28568
413,0.00028,0.00024,0.00032,0.035,4.05116
414,0.00048,0.00044,0.00052,0.035,4.84105
415,0.00032,0.00032,0.00036,0.035,4.38144
416,0.00028,0.00028,0.00028,0.035,4.15986
417,0.00052,0.00044,0.00048,0.035,5.40477
418,0.0006,0.00048,0.0006,0.035,5.0824
419,0.00028,0.00028,0.00028,0.035,3.6854
420,0.00036,0.00028,0.00036,0.035,4.86502
421,0.00032,0.00032,0.0004,0.035,8.61952
422,0.00036,0.00032,0.00036,0.035,4.3194
423,0.00028,0.00028,0.00036,0.035,4.13272
424,0.00036,0.00032,0.0004,0.035,4.13796
425,0.0004,0.0004,0.00044,0.035,5.0098
426,0.0016,0.00165,0.00155,0.035,9.44707
427,0.00092,0.0006,0.00096,0.035,5.74829
428,0.00032,0.00028,0.00032,0.035,3.84356
429,0.00044,0.00044,0.00052,0.035,5.00633
430,0.00165,0.0016,0.00165,0.035,7.3372
431,0.00052,0.00044,0.00048,0.035,5.20442
432,0.00088,0.00072,0.00076,0.035,5.78525
433,0.00064,0.00044,0.00068,0.035,5.23553
434,0.00036,0.00032,0.00044,0.035,4.60912
435,0.00052,0.00052,0.00056,0.035,5.54312
436,0.00036,0.00036,0.00036,0.035,4.53784
437,0.0004,0.00036,0.0004,0.035,4.16128
438,0.00052,0.00048,0.00052,0.035,5.07932
439,0.00044,0.0004,0.00044,0.035,4.70432
440,0.00056,0.0004,0.00048,0.035,4.33672
441,0.00032,0.00032,0.00036,0.035,6.182
442,0.00064,0.0006,0.00068,0.035,5.74922
443,0.0006,0.0006,0.0006,0.035,5.50801
444,0.00036,0.00032,0.00032,0.035,5.16376
445,0.00044,0.00044,0.00052,0.035,5.32065
446,0.00052,0.00052,0.00048,0.035,5.99032
447,0.00064,0.00064,0.00072,0.035,6.15178
448,0.0004,0.00032,0.00056,0.035,4.29957
449,0.00024,0.00028,0.00028,0.035,4.2492
450,0.0002,0.0002,0.00024,0.035,5.99865
451,0.00044,0.00044,0.00044,0.035,6.2356
452,0.00088,0.00072,0.0008,0.035,5.87376
453,0.00036,0.00028,0.00032,0.035,7.39356
454,0.00064,0.00064,0.00068,0.035,5.91837
455,0.00032,0.00032,0.00036,0.035,10.5434
456,0.00036,0.00028,0.00032,0.035,3.7052
457,0.00165,0.0013,0.00195,0.035,9.22426
458,0.00044,0.00044,0.00052,0.035,5.37877
459,0.00048,0.00044,0.00052,0.035,5.34136
460,0.00052,0.00052,0.00056,0.035,5.72074
461,0.00052,0.00048,0.00052,0.035,5.1518
462,0.00028,0.00024,0.00024,0.035,3.57912
463,0.0006,0.00052,0.00044,0.035,4.74464
464,0.00052,0.00044,0.00052,0.035,5.00881
465,0.00068,0.00068,0.00076,0.035,5.69407
466,0.00044,0.00036,0.0004,0.035,4.28344
467,0.00032,0.00028,0.00036,0.035,4.2966
468,0.00076,0.0006,0.00072,0.035,5.74563
469,0.00032,0.00028,0.00032,0.035,4.49812
470,0.00088,0.00036,0.00044,0.035,4.448
471,0.00072,0.00028,0.00036,0.035,4.07908
472,0.00036,0.00032,0.00052,0.035,4.12316
473,0.00032,0.00032,0.00028,0.035,4.6814
474,0.0006,0.00044,0.00056,0.035,4.42817
475,0.00052,0.00044,0.00048,0.035,5.56681
476,0.00064,0.00048,0.00044,0.035,5.50125
477,0.00052,0.00056,0.00056,0.035,5.10457
478,0.0018,0.0013,0.00195,0.035,6.94544
479,0.00044,0.00044,0.00048,0.035,5.30986
480,0.00044,0.00044,0.00052,0.035,5.32426
481,0.00175,0.0014,0.0018,0.035,7.02541
482,0.0004,0.0004,0.00052,0.035,4.39249
483,0.0004,0.00036,0.00032,0.035,5.1486
484,0.0004,0.00044,0.00044,0.035,4.67162
485,0.00032,0.00036,0.00032,0.035,4.10208
486,0.00036,0.00032,0.00032,0.035,4.21768
487,0.00032,0.00028,0.00036,0.035,4.6236
488,0.00032,0.00032,0.00032,0.035,5.88855
489,0.00096,0.0006,0.00072,0.035,5.70787
490,0.00048,0.00044,0.00052,0.035,4.56484
491,0.00028,0.00028,0.00032,0.035,3.7436
492,0.00036,0.00036,0.00032,0.035,4.34384
493,0.00048,0.00044,0.00044,0.035,5.46918
494,0.00048,0.00032,0.00044,0.035,3.84132
495,0.00032,0.00032,0.0004,0.035,3.9984
496,0.00032,0.00028,0.00032,0.035,4.27648
497,0.00036,0.00036,0.0004,0.035,4.25748
498,0.00032,0.00032,0.00036,0.035,4.179
499,0.00028,0.00028,0.00032,0.035,4.1914
500,0.00076,0.00064,0.001,0.035,6.12487
501,0.00036,0.00032,0.00032,0.035,4.27392
502,0.0004,0.00036,0.0004,0.035,4.24777
503,0.00068,0.0004,0.00052,0.035,5.30942
504,0.00032,0.00028,0.00028,0.035,4.33464
505,0.0006,0.0006,0.00072,0.035,3.78405
506,0.00135,0.00145,0.0019,0.035,7.93865
507,0.00028,0.00028,0.00032,0.035,3.66428
508,0.00028,0.00028,0.00024,0.035,4.02428
509,0.00036,0.00028,0.00036,0.035,4.07276
510,0.00052,0.00056,0.00044,0.035,4.97688
511,0.00028,0.00028,0.00028,0.035,3.84568
512,0.00036,0.00044,0.00032,0.035,4.009
513,0.00036,0.00028,0.00036,0.035,3.836
514,0.00024,0.00028,0.00032,0.035,4.4322
515,0.00032,0.00032,0.00032,0.035,4.2018
516,0.00068,0.00056,0.00048,0.035,5.16497
517,0.00028,0.00028,0.00028,0.035,3.90408
518,0.00028,0.00028,0.00028,0.035,3.85896
519,0.00036,0.00032,0.00036,0.035,4.01436
520,0.00028,0.00028,0.00028,0.035,4.5986
521,0.00048,0.00064,0.00048,0.035,4.07192
522,0.00044,0.00044,0.00044,0.035,3.95752
523,0.00032,0.00032,0.00036,0.035,4.29648
524,0.00044,0.0004,0.00044,0.035,5.32409
525,0.00028,0.00028,0.00028,0.035,4.41943
526,0.00044,0.00044,0.00048,0.035,4.71481
527,0.00044,0.0004,0.00044,0.035,4.09788
528,0.00064,0.0006,0.00068,0.035,5.70462
529,0.00032,0.00024,0.00032,0.035,4.21072
530,0.00028,0.00024,0.00028,0.035,3.54556
