ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_clear_finished_ms,worker_clear_started_ms,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms,worker_zero_copy
2025.7625,2023.8869,1999.542,2009.8886,5,3,58,2001.3957,2009.9253,2009.9291,2009.9261,2009.8894,2005.4546,2025.7602,2009.9275,2001.2922,2001.3007,2002.2977,2001.8824,2005.4546,50756,2005.4546,2002.3257,2001.7792,True
2028.1637,2025.9799,2001.4012,2025.9064,8,4,59,2003.9646,2025.9185,2025.9321,2025.9194,2025.9073,2009.8777,2028.1622,2025.9243,2003.8507,2003.8596,2006.2858,2004.3341,2009.8777,11844,2009.8777,2006.2988,2004.2894,True
2030.438,2028.1714,2003.9741,2025.8996,7,5,60,2006.0179,2025.9344,2025.9386,2025.9353,2025.9008,2012.8947,2030.4359,2025.9368,2005.9139,2005.9285,2006.9937,2006.499,2012.8947,6300,2012.8947,2007.0041,2006.4411,True
2032.5083,2030.4489,2006.0229,2025.9124,6,6,61,2008.0013,2025.9399,2025.9437,2025.9407,2025.9132,2011.6605,2032.5066,2025.942,2007.8923,2007.9011,2008.6426,2008.3361,2011.6605,50756,2011.6605,2008.6548,2008.2784,True
2043.432,2032.5157,2008.0088,2025.8811,5,7,62,2009.8321,2025.9446,2025.9482,2025.9454,2025.8871,2013.6755,2043.427,2025.9465,2009.7959,2009.8,2010.9145,2010.5862,2013.6755,56356,2013.6755,2010.9286,2010.4747,True
2045.4034,2043.7674,2009.9352,2043.6571,8,4,63,2019.8049,2043.6751,2043.6917,2043.6762,2043.6578,2026.526,2045.4011,2043.6819,2019.5822,2019.6143,2022.6842,2020.4783,2026.526,11844,2026.526,2022.7058,2020.3642,True
2047.9924,2045.4122,2019.8112,2043.6238,7,5,64,2021.7661,2043.6947,2043.7002,2043.6959,2043.6271,2030.9825,2047.9892,2043.6979,2021.5836,2021.606,2022.5051,2022.0936,2030.9825,50756,2030.9825,2022.5316,2022.0308,True
2049.7129,2048.009,2021.7696,2043.6373,6,6,65,2024.0347,2043.7013,2043.7057,2043.7022,2043.6384,2028.6025,2049.7097,2043.704,2023.9264,2023.9354,2024.8787,2024.5449,2028.6025,6300,2028.6025,2024.9002,2024.4709,True
2051.9582,2049.7224,2024.0423,2043.6515,5,7,66,2025.8335,2043.7071,2043.7112,2043.7079,2043.6523,2030.8243,2051.9557,2043.7095,2025.7945,2025.7984,2027.0295,2026.6064,2030.8243,56356,2030.8243,2027.0533,2026.5005,True
2054.0322,2051.9673,2025.9498,2043.6452,4,4,67,2028.3556,2043.7123,2043.7166,2043.7132,2043.646,2032.8409,2054.0303,2043.7149,2028.2221,2028.2317,2029.1021,2028.7594,2032.8409,11844,2032.8409,2029.1116,2028.7035,True
2056.1429,2054.0415,2028.3656,2043.6631,3,5,68,2030.6823,2043.7175,2043.721,2043.7183,2043.6637,2034.3615,2056.1411,2043.7194,2030.5037,2030.5157,2031.4423,2031.1424,2034.3615,6300,2034.3615,2031.4557,2031.079,True
2066.9169,2056.1509,2030.6969,2043.6684,2,6,69,2032.7331,2043.7219,2043.7253,2043.7227,2043.6691,2039.7488,2066.9107,2043.7238,2032.5823,2032.5939,2034.9487,2033.219,2039.7488,56356,2039.7488,2034.9619,2033.1166,True
2068.7241,2067.2252,2032.7458,2067.1208,8,7,70,2043.5741,2067.1478,2067.1632,2067.1489,2067.1215,2050.1244,2068.7223,2067.1553,2043.4897,2043.4958,2044.7236,2044.3768,2050.1244,50756,2050.1244,2044.7459,2044.28,True
2070.777,2068.7335,2043.727,2067.0891,7,1,71,2045.6205,2067.1665,2067.1712,2067.1675,2067.093,2051.4635,2070.7751,2067.1686,2045.4703,2045.4855,2046.517,2046.1319,2051.4635,11844,2051.4635,2046.5626,2046.0152,True
2072.8533,2070.7872,2045.6275,2067.1145,6,2,72,2048.1789,2067.1727,2067.1763,2067.1735,2067.1153,2055.0121,2072.8511,2067.1747,2048.0668,2048.0758,2050.2555,2048.5226,2055.0121,6300,2055.0121,2050.2661,2048.4871,True
2075.2597,2072.8626,2048.1849,2067.1066,5,3,73,2049.8896,2067.1773,2067.1807,2067.178,2067.1077,2062.6796,2075.257,2067.1791,2049.765,2049.7761,2052.5158,2050.5418,2062.6796,56356,2062.6796,2052.5547,2050.433,True
2077.2142,2075.269,2049.8969,2067.1324,4,4,74,2052.1381,2067.1813,2067.1846,2067.1821,2067.1335,2056.4761,2077.2119,2067.1831,2052.0211,2052.0332,2052.7806,2052.4856,2056.4761,50756,2056.4761,2052.7916,2052.426,True
2087.6258,2077.2238,2052.1471,2067.1385,3,5,75,2054.1744,2067.1853,2067.1887,2067.1861,2067.1393,2057.9615,2087.6216,2067.1872,2054.0775,2054.0869,2054.9723,2054.6384,2057.9615,11844,2057.9615,2054.9839,2054.5455,True
2089.4983,2087.6389,2054.1812,2067.1269,2,6,76,2056.5233,2067.1895,2067.1928,2067.1903,2067.1276,2059.927,2089.4966,2067.1913,2056.3245,2056.3424,2057.4021,2057.113,2059.927,6300,2059.927,2057.4124,2057.0643,True
2091.8481,2090.3432,2056.5268,2090.1035,8,7,77,2067.0385,2090.1214,2090.1361,2090.1224,2090.1045,2071.8942,2091.8427,2090.128,2066.9845,2066.9926,2068.2036,2067.9409,2071.8942,50756,2071.8942,2068.2173,2067.865,True
