frame,chart_key,value_str,split_valid,cursor_w,cursor_h,value_w,value_h
239,fit_cadence_text,None,1,7,341,154,52
240,fit_heart_rate_text,None,1,7,341,166,62
240,fit_cadence_text,None,1,7,341,154,52
241,fit_heart_rate_text,None,1,7,341,166,62
241,fit_cadence_text,None,1,7,341,154,52
242,fit_heart_rate_text,None,1,7,341,166,62
242,fit_cadence_text,None,1,7,341,154,52
243,fit_heart_rate_text,None,1,7,341,166,62
243,fit_cadence_text,None,1,7,341,154,52
244,fit_heart_rate_text,None,1,7,341,166,62
244,fit_cadence_text,None,1,7,341,154,52
245,fit_heart_rate_text,None,1,7,341,166,62
245,fit_cadence_text,None,1,7,341,154,52
246,fit_heart_rate_text,None,1,7,341,166,62
246,fit_cadence_text,None,1,7,341,154,52
247,fit_heart_rate_text,None,1,7,341,166,62
247,fit_cadence_text,None,1,7,341,154,52
248,fit_heart_rate_text,None,1,7,341,166,62
248,fit_cadence_text,None,1,7,341,154,52
249,fit_heart_rate_text,None,1,7,341,166,62
249,fit_cadence_text,None,1,7,341,154,52
250,fit_heart_rate_text,None,1,7,341,166,62
250,fit_cadence_text,None,1,7,341,154,52
251,fit_heart_rate_text,None,1,7,341,166,62
251,fit_cadence_text,None,1,7,341,154,52
252,fit_heart_rate_text,None,1,7,341,166,62
252,fit_cadence_text,None,1,7,341,154,52
253,fit_heart_rate_text,None,1,7,341,166,62
253,fit_cadence_text,None,1,7,341,154,52
254,fit_heart_rate_text,None,1,7,341,166,62
254,fit_cadence_text,None,1,7,341,154,52
255,fit_heart_rate_text,None,1,7,341,166,62
255,fit_cadence_text,None,1,7,341,154,52
256,fit_heart_rate_text,None,1,7,341,166,62
256,fit_cadence_text,None,1,7,341,154,52
257,fit_heart_rate_text,None,1,7,341,166,62
257,fit_cadence_text,None,1,7,341,154,52
258,fit_heart_rate_text,None,1,7,341,166,62
258,fit_cadence_text,None,1,7,341,154,52
259,fit_heart_rate_text,None,1,7,341,166,62
259,fit_cadence_text,None,1,7,341,154,52
260,fit_heart_rate_text,None,1,7,341,166,62
260,fit_cadence_text,None,1,7,341,154,52
261,fit_heart_rate_text,None,1,7,341,166,62
261,fit_cadence_text,None,1,7,341,154,52
262,fit_heart_rate_text,None,1,7,341,166,62
262,fit_cadence_text,None,1,7,341,154,52
263,fit_heart_rate_text,None,1,7,341,166,62
263,fit_cadence_text,None,1,7,341,154,52
264,fit_heart_rate_text,None,1,7,341,166,62
264,fit_cadence_text,None,1,7,341,154,52
265,fit_heart_rate_text,None,1,7,341,166,62
265,fit_cadence_text,None,1,7,341,154,52
266,fit_heart_rate_text,None,1,7,341,166,62
266,fit_cadence_text,None,1,7,341,154,52
267,fit_heart_rate_text,None,1,7,341,166,62
267,fit_cadence_text,None,1,7,341,154,52
268,fit_heart_rate_text,None,1,7,341,166,62
268,fit_cadence_text,None,1,7,341,154,52
269,fit_heart_rate_text,None,1,7,341,166,62
269,fit_cadence_text,None,1,7,341,154,52
270,fit_heart_rate_text,None,1,7,341,166,62
270,fit_cadence_text,None,1,7,341,154,52
271,fit_heart_rate_text,None,1,7,341,166,62
271,fit_cadence_text,None,1,7,341,154,52
272,fit_heart_rate_text,None,1,7,341,166,62
272,fit_cadence_text,None,1,7,341,154,52
273,fit_heart_rate_text,None,1,7,341,166,62
273,fit_cadence_text,None,1,7,341,154,52
274,fit_heart_rate_text,None,1,7,341,166,62
274,fit_cadence_text,None,1,7,341,154,52
275,fit_heart_rate_text,None,1,7,341,166,62
275,fit_cadence_text,None,1,7,341,154,52
276,fit_heart_rate_text,None,1,7,341,166,62
276,fit_cadence_text,None,1,7,341,154,52
277,fit_heart_rate_text,None,1,7,341,166,62
277,fit_cadence_text,None,1,7,341,154,52
278,fit_heart_rate_text,None,1,7,341,166,62
278,fit_cadence_text,None,1,7,341,154,52
279,fit_heart_rate_text,None,1,7,341,166,62
279,fit_cadence_text,None,1,7,341,154,52
280,fit_heart_rate_text,None,1,7,341,166,62
280,fit_cadence_text,None,1,7,341,154,52
281,fit_heart_rate_text,None,1,7,341,166,62
281,fit_cadence_text,None,1,7,341,154,52
282,fit_heart_rate_text,None,1,7,341,166,62
282,fit_cadence_text,None,1,7,341,154,52
283,fit_heart_rate_text,None,1,7,341,166,62
283,fit_cadence_text,None,1,7,341,154,52
284,fit_heart_rate_text,None,1,7,341,166,62
284,fit_cadence_text,None,1,7,341,154,52
285,fit_heart_rate_text,None,1,7,341,166,62
285,fit_cadence_text,None,1,7,341,154,52
286,fit_heart_rate_text,None,1,7,341,166,62
286,fit_cadence_text,None,1,7,341,154,52
287,fit_heart_rate_text,None,1,7,341,166,62
287,fit_cadence_text,None,1,7,341,154,52
288,fit_heart_rate_text,None,1,7,341,166,62
