frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,amf_submitted,amf_received,submit_result,query_result,decoder_copy
56,0.0728,1.8191,1.0061,0.0077,0.9982,0.3578,0.7992,0.0145,0.2028,0.0779,0.1402,0.0034,0.0145,0.0216,0.3803,0.2492,0.2634,2.9636,0,57,52,0,0,0
57,0.0543,1.2218,0.7255,0.0038,0.7216,0.2496,0.485,0.0113,0.1097,0.0412,0.0702,0.002,0.0103,0.0181,0.2411,0.1638,0.2679,2.0731,1,58,53,0,0,0
58,0.0392,0.926,0.6185,0.002,0.6165,0.1626,0.3029,0.0073,0.0643,0.0236,0.0429,0.0016,0.0044,0.0128,0.17,0.1204,0.1964,1.5393,2,59,54,0,0,0
59,0.069,16.4324,15.5185,0.0028,15.5156,0.4199,0.898,0.0181,0.2144,0.0847,0.153,0.0045,0.0171,0.0258,0.4128,0.2686,0.2876,17.6548,3,60,55,0,0,0
60,0.0586,7.6723,7.0941,0.0022,7.0916,0.2797,0.5664,0.0115,0.1309,0.0499,0.0895,0.0026,0.0126,0.021,0.2684,0.2031,0.2108,8.5513,0,61,56,0,0,0
61,0.059,24.2917,23.3756,0.0022,23.3732,0.2972,0.903,0.0124,0.2671,0.1059,0.2128,0.0053,0.0139,0.0183,0.4102,0.2174,0.1624,25.2638,1,62,57,0,0,0
62,0.0406,21.3077,19.91,0.0023,19.9073,0.4138,1.3838,0.0182,0.3295,0.2186,0.3916,0.0085,0.0152,0.0262,0.5918,0.253,0.2721,22.6427,2,63,58,0,0,0
63,0.06,17.8872,17.0591,0.0029,17.0559,0.321,0.8164,0.014,0.1825,0.0977,0.194,0.0048,0.0125,0.021,0.4084,0.2039,0.2488,19.0071,3,64,59,0,0,0
64,0.0403,25.8063,24.9112,0.0023,24.9089,0.3113,0.8816,0.0134,0.1872,0.1372,0.2272,0.0028,0.0145,0.0199,0.3512,0.1446,0.1649,26.6556,0,65,60,0,0,0
65,0.0362,14.0913,13.1724,0.0021,13.1702,0.312,0.9019,0.0134,0.1954,0.1219,0.2428,0.0141,0.0174,0.0206,0.5184,0.3031,0.3015,15.4986,1,66,61,0,0,0
66,0.0399,24.3332,23.4589,0.0024,23.4565,0.2765,0.8602,0.0136,0.1936,0.1352,0.2242,0.0147,0.0147,0.0198,0.3594,0.1291,0.1519,25.1158,2,67,62,0,0,0
