frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,submit_result,query_result,decoder_copy
41,0.0384,13.3991,12.7138,0.0021,12.7113,12.6981,0.0101,0.0015,0.3033,0.6745,0.0246,0.148,0.0707,0.1241,0.003,0.005,0.0136,0.1921,0.1195,0.1169,13.9386,1,318363552,2131811488,2,0,116476604,42,37,1,1,0,0,0
42,0.0383,14.4991,13.7858,0.0022,13.7828,13.7702,0.0093,0.0013,0.3375,0.6944,0.0114,0.14,0.0717,0.1279,0.0048,0.0112,0.0179,0.2397,0.1263,0.1421,15.1264,2,318363552,2131796704,0,0,116476604,43,38,1,1,0,0,0
43,0.0375,12.0227,11.5496,0.0024,11.5468,11.5382,0.0067,0.0009,0.2244,0.4588,0.0084,0.0965,0.0447,0.0809,0.0034,0.0085,0.0147,0.2196,0.1473,0.1484,12.6594,3,318363552,2131800224,1,0,116476604,44,39,1,1,0,0,0
44,0.0408,15.2107,14.6415,0.0022,14.6389,14.6256,0.0101,0.0016,0.3049,0.5558,0.0112,0.1212,0.0398,0.075,0.0031,0.0077,0.0136,0.1998,0.1172,0.1911,15.8313,0,318363552,2131810080,2,0,116476604,45,40,1,1,0,0,0
45,0.0392,12.8711,12.2162,0.0021,12.2135,12.2005,0.0101,0.0013,0.2915,0.6407,0.0104,0.1404,0.0676,0.1267,0.0033,0.0088,0.0162,0.2317,0.133,0.2021,13.5607,1,318363552,2131811488,0,0,116476604,46,41,1,1,0,0,0
46,0.0395,13.8166,13.2979,0.0025,13.295,13.2818,0.0101,0.0014,0.2957,0.505,0.008,0.085,0.0392,0.0735,0.0031,0.0085,0.0141,0.2042,0.1339,0.1481,14.4182,2,318363552,2131796704,1,0,116476604,47,42,1,1,0,0,0
47,0.0381,13.5524,13.1291,0.0024,13.1264,13.1183,0.0065,0.0008,0.2029,0.4102,0.0079,0.0872,0.0381,0.0709,0.0029,0.0079,0.0139,0.2595,0.1263,0.1496,14.2086,3,318363552,2131800224,2,0,116476604,48,43,1,1,0,0,0
48,0.0389,13.2816,12.7306,0.0029,12.7272,12.7147,0.0098,0.0014,0.3266,0.5336,0.008,0.085,0.04,0.0709,0.0026,0.0075,0.0138,0.2891,0.1303,0.1465,13.9686,0,318363552,2131810080,0,0,116476604,49,44,1,1,0,0,0
49,0.0383,13.6412,12.9172,0.0022,12.9147,12.9008,0.0106,0.0015,0.3039,0.7039,0.0105,0.1364,0.0722,0.1742,0.0055,0.012,0.0196,0.1881,0.1221,0.1348,14.2078,1,318363552,2131811488,1,0,116476604,50,45,1,1,0,0,0
50,0.0471,13.6849,12.724,0.0034,12.7203,12.7062,0.011,0.0014,0.3286,0.9469,0.012,0.2185,0.14,0.2436,0.0033,0.0088,0.0141,0.2033,0.1247,0.2194,14.3626,2,318363552,2131796704,2,0,116476604,51,46,1,1,0,0,0
51,0.0388,23.2921,22.5748,0.0024,22.5719,22.5601,0.009,0.0015,0.333,0.6976,0.0112,0.1474,0.0708,0.1289,0.0051,0.0117,0.0228,0.3411,0.161,0.1596,24.0976,3,318363552,2131800224,0,0,116476604,52,47,1,1,0,0,0
52,0.0372,11.4699,10.6908,0.002,10.6883,10.6755,0.0099,0.0014,0.3258,0.7615,0.012,0.1489,0.0799,0.1873,0.0062,0.0105,0.0177,0.3265,0.2251,0.1396,12.2896,0,318363552,2131810080,1,0,116476604,53,48,1,1,0,0,0
53,0.0396,23.8079,23.2324,0.0021,23.23,23.2162,0.0109,0.0013,0.3114,0.5606,0.0088,0.1018,0.0478,0.0869,0.0031,0.0088,0.0154,0.2374,0.1489,0.1745,24.5041,1,318363552,2131811488,2,0,116476604,54,49,1,1,0,0,0
54,0.0481,12.2493,11.5382,0.0043,11.5332,11.5168,0.0128,0.0017,0.3506,0.6929,0.0093,0.1605,0.0701,0.0965,0.0051,0.0111,0.0168,0.2591,0.136,0.1808,12.966,2,318363552,2131796704,0,0,116476604,55,50,1,1,0,0,0
55,0.0421,24.7834,24.172,0.0025,24.1692,24.1593,0.0077,0.0012,0.2896,0.5925,0.0106,0.1481,0.0521,0.0867,0.0044,0.0113,0.0185,0.2689,0.1381,0.1615,25.486,3,318363552,2131800224,1,0,116476604,56,51,1,1,0,0,0
56,0.0392,20.6209,19.5816,0.0023,19.5789,19.556,0.0178,0.0025,0.4762,1.0151,0.0159,0.2155,0.1047,0.1949,0.0063,0.0149,0.024,0.4068,0.2545,0.3584,21.8273,0,318363552,2131810080,2,0,116476604,57,52,1,1,0,0,0
57,0.0705,7.9519,7.4106,0.0037,7.4063,7.3919,0.0111,0.0016,0.2913,0.5235,0.0094,0.094,0.0426,0.0817,0.0037,0.0098,0.0167,0.215,0.1347,0.2002,8.6579,1,318363552,2131811488,0,0,116476604,58,53,1,1,0,0,0
58,0.0627,13.3389,12.6706,0.0031,12.667,12.6546,0.0089,0.0018,0.42,0.6531,0.0071,0.0957,0.0437,0.0826,0.0034,0.0087,0.0153,0.1918,0.1298,0.1724,13.9784,2,318363552,2131796704,1,0,116476604,59,54,1,1,0,0,0
59,0.0504,11.7227,10.9773,0.002,10.9749,10.9653,0.0073,0.0009,0.3238,0.7273,0.0119,0.149,0.0669,0.1698,0.0047,0.0105,0.0182,0.3191,0.2019,0.1783,12.5812,3,318363552,2131800224,2,0,116476604,60,55,1,1,0,0,0
60,0.0643,8.0337,7.336,0.0037,7.3317,7.3226,0.0069,0.0009,0.3009,0.6782,0.0124,0.1523,0.0724,0.1338,0.0051,0.0111,0.0208,0.287,0.1226,0.1957,8.7903,0,318363552,2131810080,0,0,116476604,61,56,1,1,0,0,0
61,0.0398,23.0352,21.9914,0.0022,21.9889,21.972,0.0131,0.0018,0.6272,1.0252,0.0125,0.1655,0.0826,0.1313,0.0049,0.0116,0.0187,0.3232,0.2051,0.3077,24.0373,1,318363552,2131811488,1,0,116476604,62,57,1,1,0,0,0
62,0.0974,8.6408,8.0288,0.0035,8.0241,8.0113,0.01,0.0012,0.3018,0.5974,0.0073,0.1297,0.0609,0.0944,0.0026,0.0081,0.0147,0.3215,0.1822,0.1391,9.4782,2,318363552,2131796704,2,0,116476604,63,58,1,1,0,0,0
63,0.0392,23.1614,22.3211,0.0021,22.3186,22.3043,0.011,0.0015,0.3887,0.8195,0.0119,0.1891,0.0974,0.1266,0.0049,0.0126,0.0196,0.3287,0.1747,0.2038,24.026,3,318363552,2131800224,0,0,116476604,64,59,1,1,0,0,0
64,0.0459,12.2494,11.5016,0.0022,11.499,11.484,0.0121,0.0013,0.3216,0.7296,0.0147,0.1699,0.086,0.1314,0.005,0.0105,0.018,0.2225,0.121,0.1339,12.8566,0,318363552,2131810080,1,0,116476604,65,60,1,1,0,0,0
65,0.0501,19.4465,16.5088,0.0031,16.5052,16.455,0.039,0.0059,1.283,2.9017,0.0338,0.7257,0.4321,0.4121,0.0117,0.0225,0.0328,0.733,0.4595,0.6246,21.9455,1,318363552,2131811488,2,0,116476604,66,61,1,1,0,0,0
66,0.0381,3.7657,3.0637,0.002,3.0614,3.0469,0.0105,0.0022,0.3549,0.6844,0.0097,0.1317,0.0647,0.1179,0.0043,0.0104,0.0169,0.292,0.1145,0.1172,4.3994,2,318363552,2131796704,0,0,116476604,67,62,1,1,0,0,0
67,0.0372,24.2234,23.6198,0.0022,23.6173,23.6031,0.0117,0.0011,0.2835,0.5861,0.0109,0.1213,0.0579,0.1079,0.0038,0.0105,0.0161,0.2878,0.173,0.1606,24.9779,3,318363552,2131800224,1,0,116476604,68,63,1,1,0,0,0
68,0.0367,11.4359,10.4824,0.0022,10.4798,10.466,0.0106,0.0013,0.5413,0.934,0.0212,0.1653,0.0707,0.1293,0.005,0.0117,0.018,0.3297,0.1376,0.1373,12.1618,0,318363552,2131810080,2,0,116476604,69,64,1,1,0,0,0
69,0.0412,23.6977,22.9002,0.0023,22.8973,22.8824,0.0114,0.0014,0.4991,0.7814,0.0096,0.1168,0.0521,0.0984,0.0045,0.0096,0.0161,0.2667,0.1599,0.2412,24.497,1,318363552,2131811488,0,0,116476604,70,65,1,1,0,0,0
70,0.0559,11.9713,11.1604,0.0024,11.1575,11.1435,0.0108,0.0015,0.3501,0.7915,0.0133,0.1555,0.0715,0.1934,0.0067,0.0113,0.0218,0.302,0.1371,0.1518,12.7242,2,318363552,2131796704,1,0,116476604,71,66,1,1,0,0,0
71,0.0396,13.5688,12.9629,0.0024,12.9599,12.9464,0.0103,0.0016,0.3071,0.5926,0.0129,0.1182,0.0435,0.1062,0.0034,0.008,0.0133,0.1994,0.1216,0.1942,14.2035,3,318363552,2131800224,2,0,116476604,72,67,1,1,0,0,0
