frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,amf_submitted,amf_received,submit_result,query_result,decoder_copy
64,0.0603,19.9669,0.0019,0.0027,0.4251,1.0346,0.0174,0.2028,0.1079,0.2704,0.0094,0.0152,0.0232,0.4495,0.2625,0.3383,21.2796,0,65,59,0,0,0
65,0.0535,8.7454,0.0009,0.0025,0.2888,0.6221,0.0281,0.1342,0.0442,0.1169,0.0091,0.0095,0.0203,0.3265,0.1791,0.1484,9.549,1,66,60,0,0,0
66,0.0398,13.1716,0.0009,0.002,0.2458,0.4432,0.0107,0.0844,0.0349,0.0642,0.0024,0.011,0.0149,0.2576,0.2547,0.3375,14.3791,2,67,61,0,0,0
67,0.0564,13.3835,0.0013,0.0025,0.2755,0.7886,0.043,0.187,0.1385,0.1411,0.0025,0.007,0.014,0.2833,0.136,0.2256,14.191,3,68,62,0,0,0
68,0.0389,19.0865,0.0012,0.0023,0.203,0.6791,0.0206,0.2171,0.0822,0.1526,0.0027,0.0061,0.0152,0.2866,0.195,0.1457,19.8715,0,69,63,0,0,0
69,0.0505,26.8729,0.002,0.0023,0.3066,0.8908,0.0137,0.1856,0.1467,0.2318,0.0055,0.0118,0.014,0.2582,0.1474,0.2169,27.641,1,70,64,0,0,0
70,0.037,26.6247,0.0011,0.0027,0.2342,0.6279,0.0088,0.0995,0.0631,0.2156,0.0055,0.0154,0.0195,0.3187,0.2037,0.2164,27.5331,2,71,65,0,0,0
71,0.0492,22.3678,0.0009,0.0023,0.2642,0.6931,0.0234,0.1302,0.0678,0.2015,0.0052,0.0115,0.0177,0.3081,0.1752,0.2132,23.2358,3,72,66,0,0,0
72,0.0401,14.5541,0.0012,0.0022,0.3114,0.801,0.0137,0.1924,0.1398,0.1394,0.0032,0.0109,0.0167,0.2774,0.1212,0.1735,15.2569,0,73,67,0,0,0
73,0.0389,23.4735,0.001,0.0023,0.2696,0.6445,0.0121,0.1988,0.0519,0.1094,0.0018,0.0114,0.0164,0.3079,0.1433,0.2442,24.3329,1,74,68,0,0,0
74,0.0456,8.2104,0.0012,0.0021,0.4549,0.9289,0.0176,0.175,0.0692,0.2031,0.008,0.0145,0.0182,0.322,0.1645,0.143,8.9849,2,75,69,0,0,0
75,0.0642,7.1552,0.0013,0.0023,0.3142,0.8501,0.0304,0.2257,0.0997,0.1749,0.0041,0.0111,0.0169,0.2068,0.1238,0.1524,7.7975,3,76,70,0,0,0
76,0.0377,33.7994,0.0011,0.0021,0.271,0.6082,0.0134,0.141,0.0591,0.1167,0.0057,0.0131,0.0215,0.3043,0.134,0.1636,34.5377,0,77,71,0,0,0
77,0.0565,28.1303,0.001,0.0022,0.2793,0.9025,0.0135,0.1865,0.1369,0.2798,0.0056,0.0127,0.0224,0.3565,0.1952,0.3076,29.1827,1,78,72,0,0,0
78,0.0415,29.1965,0.0011,0.0022,0.3157,0.8142,0.0134,0.1991,0.1166,0.1648,0.0034,0.0154,0.0214,0.4468,0.1882,0.1702,30.168,2,79,73,0,0,0
79,0.0437,30.0056,0.0013,0.0027,0.4804,1.0259,0.0138,0.1901,0.0798,0.2556,0.0052,0.0124,0.0207,0.4011,0.1858,0.2341,31.0065,3,80,74,0,0,0
80,0.0383,28.2713,0.0022,0.0023,0.5043,1.531,0.0187,0.3374,0.2068,0.444,0.0178,0.0285,0.0393,0.7357,0.2948,0.2904,29.8279,0,81,75,0,0,0
81,0.0398,31.2091,0.001,0.0024,0.2432,0.5943,0.0111,0.1342,0.0714,0.132,0.0018,0.0121,0.0176,0.3066,0.162,0.1958,32.0307,1,82,76,0,0,0
82,0.038,35.4456,0.0009,0.0023,0.2606,0.8077,0.0116,0.1884,0.0742,0.2666,0.0055,0.0146,0.0206,0.3418,0.163,0.1784,36.2878,2,83,77,0,0,0
83,0.0529,33.8026,0.0011,0.0023,0.2848,0.8763,0.0127,0.19,0.1193,0.2629,0.0057,0.015,0.0244,0.4568,0.2239,0.2767,34.9725,3,84,78,0,0,0
84,0.0418,33.7305,0.0009,0.0021,0.2408,0.7362,0.0108,0.1596,0.1642,0.1565,0.0035,0.0151,0.0211,0.3346,0.1436,0.1812,34.5524,0,85,79,0,0,0
85,0.0426,14.0329,0.0007,0.0033,0.2911,0.6369,0.0108,0.1118,0.0532,0.1648,0.0047,0.0173,0.0226,0.2857,0.1421,0.1431,14.761,1,86,80,0,0,0
86,0.0499,17.8586,0.001,0.0034,0.203,0.5867,0.0104,0.1548,0.0746,0.1412,0.0018,0.0099,0.0166,0.2376,0.1359,0.2684,18.672,2,87,81,0,0,0
87,0.0409,23.2902,0.0011,0.0025,0.2917,0.6214,0.0134,0.1156,0.0857,0.1103,0.0037,0.013,0.0212,0.3441,0.2384,0.2532,24.3626,3,88,82,0,0,0
88,0.0396,25.2356,0.001,0.0022,0.2007,0.4823,0.0096,0.1099,0.059,0.1007,0.0017,0.0113,0.0175,0.2571,0.1405,0.1898,25.9705,0,89,83,0,0,0
89,0.0405,35.3944,0.0009,0.0026,0.41,0.9283,0.0147,0.1863,0.1137,0.199,0.0033,0.0165,0.0205,0.3649,0.1706,0.1681,36.2562,1,90,84,0,0,0
90,0.0728,20.3912,0.0011,0.0022,0.3393,0.8014,0.0288,0.2052,0.0784,0.1461,0.0026,0.0094,0.0223,0.3711,0.2304,0.2557,21.4783,2,91,85,0,0,0
91,0.0726,24.8379,0.0011,0.0036,0.2497,0.5825,0.0112,0.1308,0.0738,0.1151,0.0014,0.0097,0.0139,0.2551,0.1285,0.1729,25.574,3,92,86,0,0,0
92,0.0408,23.7975,0.0013,0.0024,0.2995,1.0223,0.0128,0.2042,0.1196,0.3784,0.0068,0.0114,0.0183,0.4543,0.2017,0.2329,24.8751,0,93,87,0,0,0
93,0.0489,22.2131,0.0006,0.0021,0.3632,0.7426,0.0129,0.155,0.096,0.1111,0.0036,0.0154,0.0272,0.3355,0.2243,0.1852,23.1606,1,94,88,0,0,0
94,0.0665,4.667,0.0014,0.0035,0.3258,0.8321,0.0146,0.1694,0.1193,0.1966,0.0054,0.0177,0.0241,0.37,0.1638,0.149,5.5445,2,95,89,0,0,0
95,0.0514,12.1409,0.0007,0.0029,0.2375,0.4919,0.0108,0.1167,0.0498,0.0751,0.0012,0.0095,0.0135,0.3024,0.1655,0.1502,12.9118,3,96,90,0,0,0
96,0.0484,13.7172,0.002,0.0027,0.4985,1.1036,0.0213,0.2589,0.1348,0.1843,0.0043,0.0179,0.0246,0.7549,0.3959,0.7695,15.9624,0,97,91,0,0,0
