frame,canvas_alloc_ms,canvas_clear_ms,canvas_copy_ms,widget_render_ms,widget_composite_ms,alpha_ms,bbox_ms,crop_ms,tobytes_ms,large_bytes_processed
182,0.0,0.02,0.0,13.018,2.5,0.406,0.039,0.807,1.657,35563288
183,0.0,0.02,0.0,15.681,2.5,0.463,0.034,0.951,2.277,35563288
184,0.0,0.02,0.0,14.736,2.5,0.519,0.039,0.895,1.852,35563288
185,0.0,0.02,0.0,13.749,2.5,0.468,0.034,0.729,1.558,35563288
186,0.0,0.02,0.0,12.702,2.5,0.437,0.047,0.824,1.536,35563288
187,0.0,0.02,0.0,12.395,2.5,0.39,0.033,0.69,1.278,35563288
188,0.0,0.02,0.0,12.487,2.5,0.426,0.037,0.718,1.275,35563288
189,0.0,0.02,0.0,12.276,2.5,0.508,0.037,0.715,1.542,35563288
190,0.0,0.02,0.0,12.621,2.5,0.413,0.035,0.697,1.436,35563288
191,0.0,0.02,0.0,13.022,2.5,0.413,0.034,0.67,1.334,35563288
192,0.0,0.02,0.0,13.75,2.5,0.423,0.034,0.754,1.62,35563288
193,0.0,0.02,0.0,13.014,2.5,0.462,0.04,0.728,1.298,35563288
194,0.0,0.02,0.0,27.51,2.5,0.988,0.038,0.752,1.276,35563288
195,0.0,0.02,0.0,13.66,2.5,0.359,0.037,0.753,1.011,35563288
196,0.0,0.02,0.0,12.643,2.5,0.383,0.038,0.649,0.686,35563288
197,0.0,0.02,0.0,13.059,2.5,0.361,0.039,0.674,1.205,35563288
198,0.0,0.02,0.0,5.325,2.5,0.406,0.032,0.68,1.455,35563288
199,0.0,0.02,0.0,10.013,2.5,0.367,0.033,0.793,1.438,35563288
200,0.0,0.02,0.0,13.891,2.5,0.432,0.035,0.711,1.604,35563288
201,0.0,0.02,0.0,11.785,2.5,0.361,0.044,0.742,1.537,35563288
202,0.0,0.02,0.0,11.543,2.5,0.422,0.044,0.683,0.984,35563288
203,0.0,0.02,0.0,6.19,2.5,0.505,0.032,0.688,1.165,35563288
204,0.0,0.02,0.0,12.839,2.5,0.377,0.035,0.718,1.153,35563288
205,0.0,0.02,0.0,12.124,2.5,0.421,0.033,0.632,0.803,35563288
206,0.0,0.02,0.0,23.746,2.5,0.559,0.039,0.689,0.753,35563288
207,0.0,0.02,0.0,5.413,2.5,0.389,0.036,0.752,1.31,35563288
208,0.0,0.02,0.0,25.189,2.5,0.371,0.036,0.737,1.519,35563288
209,0.0,0.02,0.0,11.584,2.5,0.425,0.039,0.845,1.72,35563288
210,0.0,0.02,0.0,11.756,2.5,0.407,0.04,0.667,1.013,35563288
211,0.0,0.02,0.0,12.496,2.5,0.362,0.039,0.757,1.259,35563288
212,0.0,0.02,0.0,12.103,2.5,0.397,0.038,0.656,0.925,35563288
213,0.0,0.02,0.0,11.808,2.5,0.375,0.052,0.758,1.322,35563288
214,0.0,0.02,0.0,12.818,2.5,0.439,0.049,0.636,0.929,35563288
215,0.0,0.02,0.0,14.455,2.5,0.554,0.042,0.929,1.129,35563288
216,0.0,0.02,0.0,16.964,2.5,0.537,0.076,1.261,2.075,35563288
217,0.0,0.02,0.0,15.87,2.5,0.639,0.066,1.168,2.065,35563288
218,0.0,0.02,0.0,15.884,2.5,0.62,0.043,0.885,1.141,35563288
219,0.0,0.02,0.0,15.463,2.5,0.592,0.043,1.004,1.63,35563288
220,0.0,0.02,0.0,13.357,2.5,0.439,0.036,0.8,1.535,35563288
221,0.0,0.02,0.0,13.038,2.5,0.449,0.036,0.927,1.593,35563288
222,0.0,0.02,0.0,12.088,2.5,0.435,0.04,0.859,1.442,35563288
223,0.0,0.02,0.0,11.55,2.5,0.402,0.04,0.688,0.997,35563288
224,0.0,0.02,0.0,12.334,2.5,0.405,0.047,0.775,1.426,35563288
225,0.0,0.02,0.0,12.847,2.5,0.411,0.037,0.695,1.261,35563288
226,0.0,0.02,0.0,11.638,2.5,0.457,0.035,0.652,0.809,35563288
227,0.0,0.02,0.0,11.652,2.5,0.45,0.049,0.716,1.204,35563288
228,0.0,0.02,0.0,12.058,2.5,0.42,0.037,0.687,1.241,35563288
229,0.0,0.02,0.0,11.996,2.5,0.449,0.036,0.69,1.262,35563288
230,0.0,0.02,0.0,12.239,2.5,0.461,0.035,0.683,1.258,35563288
231,0.0,0.02,0.0,12.224,2.5,0.403,0.034,0.65,0.875,35563288
232,0.0,0.02,0.0,12.056,2.5,0.407,0.034,0.716,1.155,35563288
233,0.0,0.02,0.0,23.033,2.5,0.461,0.036,0.723,1.017,35563288
234,0.0,0.02,0.0,11.942,2.5,0.396,0.036,0.769,1.374,35563288
235,0.0,0.02,0.0,11.653,2.5,0.411,0.034,0.655,0.951,35563288
236,0.0,0.02,0.0,11.66,2.5,0.377,0.034,0.715,1.191,35563288
237,0.0,0.02,0.0,12.141,2.5,0.394,0.035,0.793,1.444,35563288
238,0.0,0.02,0.0,13.753,2.5,0.449,0.039,0.718,1.488,35563288
239,0.0,0.02,0.0,12.991,2.5,0.468,0.036,0.697,0.809,35563288
240,0.0,0.02,0.0,11.809,2.5,0.42,0.054,0.75,1.097,35563288
241,0.0,0.02,0.0,11.739,2.5,0.395,0.035,0.646,0.782,35563288
242,0.0,0.02,0.0,12.337,2.5,0.384,0.033,0.706,1.144,35563288
243,0.0,0.02,0.0,12.056,2.5,0.368,0.037,0.616,0.774,35563288
244,0.0,0.02,0.0,13.247,2.5,0.351,0.036,1.003,1.271,35563288
245,0.0,0.02,0.0,12.913,2.5,0.42,0.034,0.672,0.928,35563288
246,0.0,0.02,0.0,12.015,2.5,0.458,0.034,0.629,0.909,35563288
247,0.0,0.02,0.0,11.95,2.5,0.407,0.036,0.692,1.025,35563288
248,0.0,0.02,0.0,12.114,2.5,0.401,0.035,0.639,0.686,35563288
249,0.0,0.02,0.0,12.549,2.5,0.451,0.034,0.618,0.739,35563288
250,0.0,0.02,0.0,12.946,2.5,0.405,0.035,0.622,0.7,35563288
251,0.0,0.02,0.0,12.468,2.5,0.352,0.035,0.699,0.736,35563288
252,0.0,0.02,0.0,12.731,2.5,0.515,0.034,0.696,1.13,35563288
253,0.0,0.02,0.0,12.836,2.5,0.383,0.034,0.666,0.804,35563288
254,0.0,0.02,0.0,12.9,2.5,0.342,0.037,0.628,0.674,35563288
255,0.0,0.02,0.0,12.529,2.5,0.34,0.033,0.636,0.695,35563288
256,0.0,0.02,0.0,13.029,2.5,0.353,0.047,0.647,1.13,35563288
257,0.0,0.02,0.0,6.512,2.5,0.428,0.034,0.66,1.277,35563288
258,0.0,0.02,0.0,12.567,2.5,0.43,0.036,0.687,1.411,35563288
259,0.0,0.02,0.0,11.687,2.5,0.424,0.034,0.707,0.87,35563288
260,0.0,0.02,0.0,23.68,2.5,0.488,0.037,0.637,0.983,35563288
261,0.0,0.02,0.0,11.717,2.5,0.371,0.035,0.705,1.186,35563288
262,0.0,0.02,0.0,12.668,2.5,0.365,0.037,0.676,1.179,35563288
263,0.0,0.02,0.0,13.911,2.5,0.573,0.033,0.83,1.406,35563288
264,0.0,0.02,0.0,13.938,2.5,0.422,0.035,0.949,1.328,35563288
265,0.0,0.02,0.0,12.807,2.5,0.378,0.033,0.643,0.775,35563288
266,0.0,0.02,0.0,13.665,2.5,0.39,0.033,0.868,0.706,35563288
267,0.0,0.02,0.0,12.346,2.5,0.344,0.039,0.725,1.123,35563288
268,0.0,0.02,0.0,12.532,2.5,0.356,0.033,0.69,1.376,35563288
269,0.0,0.02,0.0,13.695,2.5,0.414,0.037,0.807,1.553,35563288
270,0.0,0.02,0.0,12.184,2.5,0.514,0.058,1.44,1.845,35563288
271,0.0,0.02,0.0,16.803,2.5,0.567,0.042,0.991,1.563,35563288
272,0.0,0.02,0.0,27.516,2.5,1.09,0.046,0.944,1.853,35563288
273,0.0,0.02,0.0,14.794,2.5,0.641,0.045,0.731,0.784,35563288
274,0.0,0.02,0.0,13.571,2.5,0.409,0.037,0.751,0.817,35563288
275,0.0,0.02,0.0,13.116,2.5,0.355,0.034,0.654,1.14,35563288
276,0.0,0.02,0.0,25.146,2.5,0.522,0.034,0.852,1.334,35563288
277,0.0,0.02,0.0,11.604,2.5,0.388,0.034,0.699,1.208,35563288
278,0.0,0.02,0.0,11.89,2.5,0.435,0.035,0.646,1.205,35563288
279,0.0,0.02,0.0,12.664,2.5,0.474,0.034,0.882,1.414,35563288
280,0.0,0.02,0.0,12.337,2.5,0.39,0.033,0.706,1.346,35563288
281,0.0,0.02,0.0,11.886,2.5,0.406,0.033,0.69,1.173,35563288
282,0.0,0.02,0.0,11.809,2.5,0.451,0.033,0.749,1.255,35563288
283,0.0,0.02,0.0,6.606,2.5,0.408,0.035,0.688,1.243,35563288
284,0.0,0.02,0.0,12.105,2.5,0.405,0.034,0.649,0.855,35563288
285,0.0,0.02,0.0,11.776,2.5,0.373,0.035,0.74,1.4,35563288
286,0.0,0.02,0.0,22.167,2.5,0.353,0.034,0.708,1.252,35563288
287,0.0,0.02,0.0,11.966,2.5,0.456,0.039,0.628,0.786,35563288
288,0.0,0.02,0.0,11.713,2.5,0.405,0.035,0.672,0.821,35563288
289,0.0,0.02,0.0,11.798,2.5,0.492,0.037,0.648,0.837,35563288
290,0.0,0.02,0.0,11.856,2.5,0.381,0.034,0.692,1.178,35563288
291,0.0,0.02,0.0,12.115,2.5,0.403,0.034,0.646,0.946,35563288
292,0.0,0.02,0.0,12.668,2.5,0.374,0.034,0.711,1.143,35563288
293,0.0,0.02,0.0,12.729,2.5,0.39,0.034,0.745,1.303,35563288
